Cintas Corp, , CTAS, Business Services
Arise AB, , ARISE, Electric Utilities
Black Hills Corporation, , TPC, Electric Utilities
Calpine Corp., , CPN, Electric Utilities
Central Puerto SA, , SAN-I, Electric Utilities
Centralschweizerische, , CKWN, Electric Utilities
China Longyuan Power, , 0916, Electric Utilities
China Power International, , 2380, Electric Utilities
CIA Energetica, , CIG, Electric Utilities
Cia Energetica de Minas Gerais, , XCMIG, Electric Utilities
Cleco Corporation, , CNL, Electric Utilities
CMS Energy Corp, , CMS, Electric Utilities
CMS Energy Corp., , CMS, Electric Utilities
Companhia Paranaense de Energi, , ELP, Electric Utilities
Consolidated Edison Inc, , ED, Electric Utilities
Consolidated Edison, , ED, Electric Utilities
Dominion Resources, , D, Electric Utilities
DPSC Ltd., , DPSCLTD, Electric Utilities
DTE Energy Company, , DTE, Electric Utilities
ecoTECH Energy Group, , ECTH, Electric Utilities
Edison International, , EIX, Electric Utilities
EDP - Energias do Brasil SA, , ENBR3, Electric Utilities
El Paso Electric Co, , EE, Electric Utilities
El Paso Electric Co., , EE, Electric Utilities
Eletrobras Participacoes SA, , LIPR3, Electric Utilities
Elia System Operator, , ELI, Electric Utilities
Ellomay Capital Ltd., , ELLO, Electric Utilities
Empresa Nacional, , EOC, Electric Utilities
Empresa Nacional de Electricid, , EOC, Electric Utilities
Endesa Costanera SA, , ELE, Electric Utilities
Endesa SA, , ELE, Electric Utilities
Eneabba Gas Ltd, , ENB, Electric Utilities
ENEL, , ENEL, Electric Utilities
Energie Europe Service, , MLEES, Electric Utilities
Enersis SA, , ENI, Electric Utilities
Entergy Corporation, , ETR, Electric Utilities
Evergreen Energy, , EVEIQ, Electric Utilities
First National Energy Corp., , FNEC, Electric Utilities
FirstEnergy Corp., , FE, Electric Utilities
GCL-Poly Energy, , 3800, Electric Utilities
GEI Global Energy Corp., , GEIG, Electric Utilities
Geodynamics Ltd, , GDY, Electric Utilities
Great Plains Energy Incorporat, , GXP, Electric Utilities
Helix Wind, , HLXW, Electric Utilities
Hot Rock Ltd, , HRL, Electric Utilities
HyperSolar, , HYSR, Electric Utilities
Innovatec S.p.A., , INC, Electric Utilities
Jersey Electricity PLC, , JEL, Electric Utilities
K.R.Energy S.p.A., , KRE, Electric Utilities
Kansai Electric Power Co Inc, , 9503, Electric Utilities
KSK Power Ventur PLC, , KSK, Electric Utilities
NextEra Energy Inc, , NEE, Electric Utilities
NextEra Energy, , NEE, Electric Utilities
Neyveli Lignite Corp Ltd, , NEYVELILIG, Electric Utilities
Northeast Utilities, , NU, Electric Utilities
NRG Yield, , NYLD, Electric Utilities
OGE Energy Corp, , OGE, Electric Utilities
OGE Energy Corp., , OGE, Electric Utilities
Ormat Technologies Inc., , ORA, Electric Utilities
Pampa Energia SA, , PAM, Electric Utilities
Pepco Holdings Inc, , POM, Electric Utilities
Pepco Holdings, , POM, Electric Utilities
Petratherm Ltd, , PTR, Electric Utilities
Petrolera Pampa SA, , PETR, Electric Utilities
PG&E Corp, , PG, Electric Utilities
PG&E Corporation, , PG, Electric Utilities
Pinnacle West Capital Corp, , PNW, Electric Utilities
Pinnacle West Capital Corporat, , PNW, Electric Utilities
Portland General Electric Co, , POR, Electric Utilities
Portland General Electric Comp, , POR, Electric Utilities
Power Grid Corp Of India Ltd, , POWERGRID, Electric Utilities
PowerVerde, , PWVI, Electric Utilities
PPL Corporation, , PPL, Electric Utilities
Redentor Energia SA, , RDTR3, Electric Utilities
REN-Redes Energeticas, , RENE, Electric Utilities
SCANA Corp, , SCG, Electric Utilities
SCANA Corp., , SCG, Electric Utilities
SEFE, , SEFE, Electric Utilities
Spark Energy, , SPKE, Electric Utilities
Spark Infrastructure Group, , SKI, Electric Utilities
SRM Energy Ltd, , 523222, Electric Utilities
Sunvalley Solar, , SSOL, Electric Utilities
Suryachakra Power Corp Ltd, , 532874, Electric Utilities
TAESA, , TAEE3, Electric Utilities
Te Wind S.A., , TEW, Electric Utilities
TECO Energy Inc, , TE, Electric Utilities
Ternienergia, , TER, Electric Utilities
The AES Corporation, , AES, Electric Utilities
The Empire District Electric C, , EDE, Electric Utilities
UNS Energy Corp, , UNS, Electric Utilities
Vector Ltd, , VGR, Electric Utilities
Veer Energy & Infrastruct, , 503657, Electric Utilities
Voltalia SA, , VLTSA, Electric Utilities
Westar Energy Inc, , WR, Electric Utilities
WindGen Energy Inc., , WGEI, Electric Utilities
Xcel Energy Inc, , XEL, Electric Utilities
Xcel Energy Inc., , XEL, Electric Utilities
4Energy Invest, , ENINV, Electric Utilities
AGL Resources Inc, , GAS, Gas Utilities
AGL Resources Inc., , GAS, Gas Utilities
AmeriGas Partners LP, , APU, Gas Utilities
Atmos Energy Corp, , ATO, Gas Utilities
Atmos Energy Corporation, , ATO, Gas Utilities
Binhai Investment Co Ltd, , 2886, Gas Utilities
Binhai Investment Co., , 2886, Gas Utilities
CenterPoint Energy Inc, , CNP, Gas Utilities
CenterPoint Energy, , CNP, Gas Utilities
Chesapeake Utilities Corp, , CPK, Gas Utilities
Chesapeake Utilities Corporati, , CPK, Gas Utilities
China Natural Gas, , CHNGQ, Gas Utilities
Clean Energy Fuels Corp., , CLNE, Gas Utilities
Delta Natural Gas Company, , DGAS, Gas Utilities
Distribuidora De Gas Cuyana SA, , DGCU2, Gas Utilities
ENN Energy Holdings Ltd., , 2688, Gas Utilities
EQT Corporation, , EQT, Gas Utilities
Gas Natural Ban SA, , GBAN, Gas Utilities
Gas Plus Spa, , GSP, Gas Utilities
Integrys Energy Group, , TEG, Gas Utilities
Ipco International Ltd, , I11, Gas Utilities
Laclede Group Inc, , LG, Gas Utilities
MetroGas SA, , MGSBF, Gas Utilities
New Jersey Resources, , NJR, Gas Utilities
New Jersey Resources Corp., , NJR, Gas Utilities
Niska Gas Storage Partners LLC, , NKA, Gas Utilities
NiSource Inc, , NI, Gas Utilities
ONEOK Inc., , OKE, Gas Utilities
Osaka Gas Co Ltd, , 9532, Gas Utilities
Ouhua Energy Holdings Ltd, , AJ2, Gas Utilities
Piedmont Natural Gas Co, , PNY, Gas Utilities
Piedmont Natural Gas Co. Inc., , PNY, Gas Utilities
Questar Corp, , STR, Gas Utilities
Questar Corporation, , STR, Gas Utilities
Rajasthan Gases Ltd, , 526873, Gas Utilities
RGC Resources, , RGCO, Gas Utilities
Rubis, , RUBI, Gas Utilities
Saibu Gas Co., , 9536, Gas Utilities
South Jersey Industries, , SJI, Gas Utilities
Southcross Energy Partners, , SXE, Gas Utilities
Southwest Gas Corporation, , SWX, Gas Utilities
Suburban Propane Partners, , SPH, Gas Utilities
Summit Midstream Partners, , SMLP, Gas Utilities
The Laclede Group, , LG, Gas Utilities
Tokyo Gas Co Ltd, , 9531, Gas Utilities
Transportadora de Gas, , TGS, Gas Utilities
Transportadora de Gas del, , TGS, Gas Utilities
Transportadora de Gas Del Sur, , TGS, Gas Utilities
UGI Corp, , UGI, Gas Utilities
UIL Holdings Corporation, , UIL, Gas Utilities
Vectren Corp, , VVC, Gas Utilities
WGL Holdings Inc, , WGL, Gas Utilities
WGL Holdings Inc., , WGL, Gas Utilities
Acsm-Agam SPA, , ACS, Diversified Utilities
AFT Corp Ltd, , AFT, Diversified Utilities
Algonquin Power, , AQN, Diversified Utilities
ALLETE, , ALE, Diversified Utilities
Amber Energy Ltd, , 0090, Diversified Utilities
Amber Energy Ltd., , 0090, Diversified Utilities
Ampla Energia E Servicos SA, , CBEE3, Diversified Utilities
ARISE Technologies Corporation, , APV, Diversified Utilities
Ascent Solar Technologies Inc, , ASTI, Diversified Utilities
AusNet Services, , AST, Diversified Utilities
Avista Corp, , AVA, Diversified Utilities
Avista Corp., , AVA, Diversified Utilities
Black Hills Corp, , BKH, Diversified Utilities
Canadian Solar Inc, , CSIQ, Diversified Utilities
Capex SA, , CAPX, Diversified Utilities
China Datang Corporation, , 1798, Diversified Utilities
China Resources Gas Group Ltd, , 1193, Diversified Utilities
China Resources Power, , 0836, Diversified Utilities
China Sunergy Co Ltd, , CSUN, Diversified Utilities
China Suntien Green, , 0956, Diversified Utilities
Chubu Electric Power Co Inc, , 9502, Diversified Utilities
Cir-Compagnie Industriali, , CIRPF, Diversified Utilities
Citation Resources Ltd, , CTR, Diversified Utilities
Comtec Solar Systems, , 0712, Diversified Utilities
Cosan Ltd, , CZZ, Diversified Utilities
Cosan Ltd., , CZZ, Diversified Utilities
CPFL Energy SA, , CPL, Diversified Utilities
Dominion Resources Inc, , D, Diversified Utilities
Drax Group PLC, , DRX, Diversified Utilities
Duke Energy Corporation, , DUK, Diversified Utilities
Ecosave Holdings Ltd, , ECV, Diversified Utilities
Ecosuntek SpA, , ECK, Diversified Utilities
EDP Renovaveis SA, , EDPR, Diversified Utilities
Elango Industries Ltd, , 513452, Diversified Utilities
EMAE, , EMAE, Diversified Utilities
Enel Green Power SpA, , EGPW, Diversified Utilities
Enertronica SpA, , ENT, Diversified Utilities
Entergy Corp, , ETR, Diversified Utilities
Eolus Vind AB, , 7EV, Diversified Utilities
Ergycapital, , ECA, Diversified Utilities
Euro Solar Parks, , ESLP, Diversified Utilities
Exelon Corp, , EXC, Diversified Utilities
Exelon Corporation, , EXC, Diversified Utilities
Fersa Energias Renovables SA, , FRS, Diversified Utilities
Fintel Energia Group SpA, , FTL, Diversified Utilities
First Solar Inc, , FSLR, Diversified Utilities
FirstEnergy Corp, , FE, Diversified Utilities
ForceField Energy Inc., , FNRG, Diversified Utilities
Fortum Oyj, , FUM1V, Diversified Utilities
Frendy Energy SPA, , FDE, Diversified Utilities
Gala S.p.A., , GALA, Diversified Utilities
Global Bioenergies, , ALGBE, Diversified Utilities
Global EcoPower, , ALGEP, Diversified Utilities
Green Rock Energy Ltd, , GRK, Diversified Utilities
Gruppo Green Power S.p.A., , GGP, Diversified Utilities
High Peaks Royalties Ltd, , HPR, Diversified Utilities
Innovente Inc, , IGE, Diversified Utilities
Integrys Energy Group Inc, , TEG, Diversified Utilities
JA Solar Holdings Co ADR, , JASO, Diversified Utilities
JinkoSolar Holding Co Ltd, , JKS, Diversified Utilities
K2 Energy Ltd, , KTE, Diversified Utilities
Kinexia SpA, , KNX, Diversified Utilities
Made SA, , MLMAD, Diversified Utilities
Mass Megawatts Wind Power Inc., , MMMW, Diversified Utilities
Maxim Power Corp, , MXIM, Diversified Utilities
MDU Resources Group Inc, , MDU, Diversified Utilities
MDU Resources Group Inc., , MDU, Diversified Utilities
Methanor, , ALMET, Diversified Utilities
MGE Energy Inc., , MGEE, Diversified Utilities
NextEra Energy Partners, , NEP, Diversified Utilities
NiSource Inc., , NI, Diversified Utilities
NRG Energy Inc, , NRG, Diversified Utilities
NRG Energy, , NRG, Diversified Utilities
OPEL Technologies Inc, , OPELD, Diversified Utilities
Ormat Technologies Inc, , ORA, Diversified Utilities
Otter Tail Corporation, , OTTR, Diversified Utilities
Photonike SA, , MLPHO, Diversified Utilities
PNM Resources, , PNM, Diversified Utilities
PPL Corp, , PPL, Diversified Utilities
Public Service Enterprise, , PEG, Diversified Utilities
Public Service Enterprise Grou, , PEG, Diversified Utilities
PV Crystalox Solar PLC, , PVCS, Diversified Utilities
Quantum Solar Power Corp., , QSPW, Diversified Utilities
Raya Group Ltd, , RYG, Diversified Utilities
Real Goods Solar Inc, , RGSE, Diversified Utilities
ReneSola Ltd, , SOL, Diversified Utilities
Romande Energie Holding SA, , HREN, Diversified Utilities
Roth & Rau AG, , ROTH, Diversified Utilities
Sempra Energy, , SRE, Diversified Utilities
Solaria Energia y Medio, , SLR, Diversified Utilities
Sun Source (India) Ltd, , 517403, Diversified Utilities
SunPower Corp, , SPWR, Diversified Utilities
Suntech Power Holdings Co Ltd, , STPFQ, Diversified Utilities
TerraForm Power, , TERP, Diversified Utilities
Trina Solar Ltd, , TSL, Diversified Utilities
UGI Corporation, , UGI, Diversified Utilities
Unitil Corp., , UTL, Diversified Utilities
Urja Global Ltd, , 526987, Diversified Utilities
Vectren Corporation, , VVC, Diversified Utilities
Wasion Group Holdings Ltd., , 3393, Diversified Utilities
Westar Energy, , WR, Diversified Utilities
Weya, , MLWEY, Diversified Utilities
Yingli Green Energy, , YGE, Diversified Utilities
Infigen Energy, , IFN, Diversified Utilities
Infinis Energy PLC, , INFI, Diversified Utilities
Acque Potabili, , ACP, Water Utilities
Aqua America Inc, , WTR, Water Utilities
Aqua America Inc., , WTR, Water Utilities
Artesian Resources Corp., , ARTNA, Water Utilities
Beijing Enterprises Water, , 0371, Water Utilities
Cadiz Inc., , CDZI, Water Utilities
California Water Service Group, , CWT, Water Utilities
China Water Affairs Group Ltd, , 0855, Water Utilities
China Water Affairs Group Ltd., , 0855, Water Utilities
Compagnie des Eaux de Royan, , MLEDR, Water Utilities
Connecticut Water Service Inc., , GE, Water Utilities
Consolidated Water Co Ltd, , CWCO, Water Utilities
Consolidated Water Co. Ltd., , CWCO, Water Utilities
COPASA, , CSMG3, Water Utilities
Middlesex Water Co., , MSEX, Water Utilities
Parisienne de Chauffage Urbain, , CHAU, Water Utilities
Pure Cycle Corporation, , PCYO, Water Utilities
Severn Trent PLC, , SVT, Water Utilities
SJW Corp., , SJW, Water Utilities
Sound Global Ltd, , 0967, Water Utilities
STW Resources Holding Corp, , STWS, Water Utilities
Suez Environnement Co SA, , SEV, Water Utilities
The York Water Company, , YORW, Water Utilities
